Calificacion general;Asistencia;Fecha;Taller;Sede;Escuela;Carrera
100;100;14-07-2026;Excel;AL;INFORMATICA Y TELECOMUNICACIONES;INGENIERIA EN INFORMATICA
100;100;14-07-2026;Excel;VA;INGENIERIA;INGENIERIA EN MAQUINARIA Y VEHICULOS PESADOS
100;100;14-07-2026;Excel;MA;SALUD;TECNICO EN QUIMICA Y FARMACIA
100;100;14-07-2026;Excel;NA;ADMINISTRACION Y NEGOCIOS;TECNICO EN ADMINISTRACION
100;100;14-07-2026;Excel;MA;ADMINISTRACION Y NEGOCIOS;INGENIERIA EN ADMINISTRACION MENCION GESTION DE PERSONAS
100;100;14-07-2026;Excel;PV;ADMINISTRACION Y NEGOCIOS;INGENIERIA EN ADMINISTRACION MENCION FINANZAS
100;100;14-07-2026;Excel;VA;TURISMO;GASTRONOMIA INTERNACIONAL
100;100;14-07-2026;Excel;MA;ADMINISTRACION Y NEGOCIOS;AUDITORIA
100;100;14-07-2026;Excel;VA;CONSTRUCCION;TECNICO EN CONSTRUCCION
100;100;14-07-2026;Excel;PV;ADMINISTRACION Y NEGOCIOS;INGENIERIA EN ADMINISTRACION MENCION FINANZAS
100;100;14-07-2026;Excel;VA;INGENIERIA;INGENIERIA EN MECANICA AUTOMOTRIZ Y AUTOTRONICA
100;100;14-07-2026;Excel;SB;ADMINISTRACION Y NEGOCIOS;INGENIERIA EN ADMINISTRACION MENCION FINANZAS
100;100;14-07-2026;Excel;VA;SALUD;TECNICO EN ODONTOLOGIA
100;100;14-07-2026;Excel;MA;INFORMATICA Y TELECOMUNICACIONES;ANALISTA PROGRAMADOR
100;100;14-07-2026;Excel;MA;COMUNICACION;PUBLICIDAD
100;100;14-07-2026;Excel;PN;ADMINISTRACION Y NEGOCIOS;INGENIERIA EN ADMINISTRACION MENCION GESTION DE PERSONAS
100;100;14-07-2026;Excel;MA;ADMINISTRACION Y NEGOCIOS;INGENIERIA EN GESTION LOGISTICA
100;100;14-07-2026;Excel;MA;ADMINISTRACION Y NEGOCIOS;INGENIERIA EN ADMINISTRACION MENCION GESTION DE PERSONAS
100;100;14-07-2026;Excel;PV;ADMINISTRACION Y NEGOCIOS;INGENIERIA EN COMERCIO EXTERIOR
100;100;14-07-2026;Excel;PM;CONSTRUCCION;INGENIERIA EN CONSTRUCCION
100;100;14-07-2026;Excel;NA;ADMINISTRACION Y NEGOCIOS;TECNICO EN GESTION LOGISTICA
100;100;14-07-2026;Excel;MA;ADMINISTRACION Y NEGOCIOS;INGENIERIA EN GESTION LOGISTICA
100;100;14-07-2026;Excel;PV;ADMINISTRACION Y NEGOCIOS;INGENIERIA EN ADMINISTRACION MENCION INNOVACION
100;100;14-07-2026;Excel;VA;INGENIERIA;INGENIERIA EN MAQUINARIA Y VEHICULOS PESADOS
100;100;14-07-2026;Excel;MA;INGENIERIA;INGENIERIA EN ELECTRICIDAD Y AUTOMATIZACION INDUSTRIAL
100;100;14-07-2026;Excel;MA;INGENIERIA;INGENIERIA EN MAQUINARIA Y VEHICULOS PESADOS
100;100;14-07-2026;Excel;MA;CONSTRUCCION;INGENIERIA EN CONSTRUCCION
100;100;14-07-2026;Excel;MA;ADMINISTRACION Y NEGOCIOS;INGENIERIA EN GESTION LOGISTICA
100;100;14-07-2026;Excel;VA;INGENIERIA;INGENIERIA EN MAQUINARIA Y VEHICULOS PESADOS
100;100;14-07-2026;Excel;VA;TURISMO;GASTRONOMIA INTERNACIONAL
100;100;14-07-2026;Excel;PV;COMUNICACION;PUBLICIDAD PLAN COMUN
100;100;14-07-2026;Excel;MA;ADMINISTRACION Y NEGOCIOS;INGENIERIA EN COMERCIO EXTERIOR
100;100;14-07-2026;Excel;MA;ADMINISTRACION Y NEGOCIOS;CONTABILIDAD GENERAL MENCION LEGISLACION TRIBUTARIA
100;100;14-07-2026;Excel;PA;ADMINISTRACION Y NEGOCIOS;INGENIERIA EN ADMINISTRACION MENCION GESTION DE PERSONAS
100;100;14-07-2026;Excel;PN;INFORMATICA Y TELECOMUNICACIONES;ANALISTA PROGRAMADOR COMPUTACIONAL
100;100;14-07-2026;Excel;PV;ADMINISTRACION Y NEGOCIOS;INGENIERIA EN ADMINISTRACION MENCION FINANZAS
