Calificacion general;Asistencia;Fecha;Taller;Sede;Escuela;Carrera
100;100;09-06-2026;Presentaciones;PV;ADMINISTRACION Y NEGOCIOS;INGENIERIA EN MARKETING DIGITAL
100;100;09-06-2026;Presentaciones;VR;ADMINISTRACION Y NEGOCIOS;INGENIERIA EN ADMINISTRACION MENCION INNOVACION
100;100;09-06-2026;Presentaciones;SJ;SALUD;INFORMATICA BIOMEDICA
100;100;09-06-2026;Presentaciones;PM;CONSTRUCCION;INGENIERIA EN CONSTRUCCION
100;100;09-06-2026;Presentaciones;PM;CONSTRUCCION;INGENIERIA EN CONSTRUCCION
100;100;09-06-2026;Presentaciones;PA;RECURSOS NATURALES;TECNICO VETERINARIO Y PECUARIO
100;100;09-06-2026;Presentaciones;AO;ADMINISTRACION Y NEGOCIOS;INGENIERIA EN ADMINISTRACION MENCION GESTION DE PERSONAS
100;100;09-06-2026;Presentaciones;SB;ADMINISTRACION Y NEGOCIOS;CONTABILIDAD GENERAL MENCION LEGISLACION TRIBUTARIA
100;100;09-06-2026;Presentaciones;PA;ADMINISTRACION Y NEGOCIOS;INGENIERIA EN ADMINISTRACION MENCION GESTION DE PERSONAS
100;100;09-06-2026;Presentaciones;SC;ADMINISTRACION Y NEGOCIOS;INGENIERIA EN ADMINISTRACION MENCION FINANZAS
100;100;09-06-2026;Presentaciones;PA;INGENIERIA;TECNICO EN CALIDAD DE ALIMENTOS
100;100;09-06-2026;Presentaciones;AO;ADMINISTRACION Y NEGOCIOS;TECNICO EN ADMINISTRACION
100;100;09-06-2026;Presentaciones;MA;INFORMATICA Y TELECOMUNICACIONES;INGENIERIA EN REDES Y TELECOMUNICACIONES
100;100;09-06-2026;Presentaciones;VA;CONSTRUCCION;INGENIERIA EN CONSTRUCCION
100;100;09-06-2026;Presentaciones;PO;ADMINISTRACION Y NEGOCIOS;INGENIERIA EN GESTION LOGISTICA
100;100;09-06-2026;Presentaciones;PA;DOCENTE;DOCENTE
100;100;09-06-2026;Presentaciones;PN;ADMINISTRACION Y NEGOCIOS;TECNICO EN ADMINISTRACION
100;100;09-06-2026;Presentaciones;MA;SALUD;PREPARADOR FISICO
100;100;09-06-2026;Presentaciones;AO;ADMINISTRACION Y NEGOCIOS;INGENIERIA EN MARKETING DIGITAL
100;100;09-06-2026;Presentaciones;PA;ADMINISTRACION Y NEGOCIOS;INGENIERIA EN MARKETING DIGITAL
100;100;09-06-2026;Presentaciones;SJ;SALUD;INFORMATICA BIOMEDICA
